"Código","Nombre oficial","Autor"
"75.07.01","Asparago acutifolii-Jasminetum fruticantis","O. Bolòs 1961"
"75.07.02","Buxo sempervirentis-Juniperetum phoeniceae","Rivas-Martínez 1969"
"75.07.03","Clematido flammulae-Osyrietum albae","O. Bolòs 1962"
"75.07.04","Crataego monogynae-Quercetum cocciferae","Martínez-Parras, Peinado & Alcaraz 1984"
"75.07.05","Daphno gnidii-Quercetum cocciferae","Rivas-Martínez, Cantó, Fernández-González & Sánchez-Mata 2002"
"75.07.06","Genistetum valentinae","Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991"
"75.07.07","Genisto occidentalis-Quercetum cocciferae","Loidi, Herrera, Olano & Silván 1994"
"75.07.08","Genisto scorpii-Retametum sphaerocarpae","Rivas-Martínez ex Fuente 1986"
"75.07.09","Hedero-Cytisetum patentis","Mateo 1983"
"75.07.10","Hyacinthoido hispanicae-Quercetum cocciferae","(Rivas Goday in Rivas Goday, Borja, Esteve, Galiano, Rigual & Rivas-Martínez 1960) Peinado & Martínez-Parras 1985"
"75.07.11","Jasmino fruticantis-Buxetum sempervirentis","O. Bolòs 1973"
"75.07.12","Quercetum cocciferae","Br.-Bl. 1924"
"75.07.13","Rhamno lycioidis-Juniperetum phoeniceae","Rivas-Martínez & G. López in G. López 1976"
"75.07.14","Rhamno lycioidis-Quercetum cocciferae","Br.-Bl. & O. Bolòs 1954"
"75.07.15","Rhamno saxatilis-Juniperetum phoeniceae","Roselló 1994"
"75.07.16","Spiraeo obovatae-Quercetum cocciferae","Loidi & F. Prieto 1986"
"75.07.17","Teucrio compacti-Quercetum cocciferae","Martínez-Parras, Peinado & Alcaraz 1987"
"75.08","Periplocion angustifoliae","Rivas-Martínez 1975"
"75.08.01","Arisaro simorrhini-Tetraclinidetum articulatae","Rivas Goday & Rivas-Martínez in Rivas-Martínez 1975"
"75.08.02","Gymnosporio europaei-Ziziphetum loti","F. Casas 1970"
"75.08.03","Mayteno europaei-Periplocetum angustifoliae","Rivas Goday & Esteve in Rivas Goday in Rivas Goday, Borja, Esteve, Galiano, Rigual & Rivas-Martínez 1960 corr. Rivas-Martínez 1975"
"75.08.04","Ziziphetum loti","Rivas Goday & Bellot 1944"
"75.09","Juniperion turbinatae","Rivas-Martínez 1975 corr. 1987"
"75.09.01","Asparago-Juniperetum macrocarpae","R. & R. Molinier ex O. Bolòs 1962"
"75.09.02","Astragalo tragacanthae-Juniperetum macrocarpae","Rivas-Martínez & Cantó 2002"
"75.09.03","Clematido balearicae-Juniperetum lyciae","(O. Bolòs, Molinier & P. Montserrat 1970) Rivas-Martínez 1975"
"75.09.04","Coremato albi-Juniperetum macrocarpae","M.B. Crepos, De la Torre, Alcaraz, Costa & Solanas 2002"
"75.09.05","Daphno gnidii-Juniperetum navicularis","Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990"
"75.09.06","Juniperetum lyciae","Molinier ex O. Bolòs 1967"
"75.09.07","Osyrio quadripartitae-Juniperetum turbinatae","Rivas-Martínez ex Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990"
"75.09.08","Rhamno angustifoliae-Juniperetum turbinatae","Rivas-Martínez ex Freitag 1971 corr. Alcaraz, T.E. Díaz, Rivas-Martínez & P. Sánchez 1989"
"75.09.09","Rhamno oleoidis-Juniperetum macrocarpae","Rivas-Martínez 1965"
"75.09.10","Rubio longifoliae-Juniperetum macrocarpae","Rivas-Martínez, Costa & Loidi 1992"
"75.10","Rubio longifoliae-Coremation albi","Rivas-Martínez in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"75.10.01","Rubio longifoliae-Corematetum albi","Rivas-Martínez in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"75.11","Quercion fruticosae","Rothmaler 1954"
"75.11.01","Erico scopariae-Quercetum lusitanicae","Rothmaler ex Br.-Bl., P. Silva & Rozeira 1965"
"75.11.02","Junipero navicularis-Quercetum lusitanicae","(Rothmaler 1954) Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990"
"75.11.03","Senecio lopezii-Quercetum lusitanicae","Rivas-Martínez 2002"
"75.12","Ericion arboreae","(Rivas-Martínez ex Rivas-Martínez, Costa & Izco 1986) Rivas-Martínez 1987"
"75.12.01","Ampelodesmo mauritanicae-Ericetum scopariae","O. Bolòs, Molinier & P. Montserrat 1970"
"75.12.02","Cytiso baetici-Arbutetum unedonis","Nieto, A.V. Pérez & Cabezudo 1990"
"75.12.03","Cytiso heterochroi-Ericetum arboreae","López Vélez & Alcaraz in López Vélez 1996"
"75.12.04","Cytiso sessilifolii-Bupleuretum fruticosi","Rivas-Martínez 1969"
"75.12.05","Cytiso tribracteolati-Juniperetum oxycedri","A.V. Pérez, Galán & Cabezudo in A.V. Pérez, Galán, P. Navas, D. Navas, Y. Gil & Cabezudo 1999"
"75.12.06","Erico arboreae-Arbutetum unedonis","Molinier 1937"
"75.12.07","Erico arboreae-Buxetum sempervirentis","Aguiar, Esteves & Penas 1999"
"75.12.08","Erico scopariae-Arbutetum unedonis","Ortiz, Amigo & Izco 1991"
"75.12.09","Ericetum scopario-arboreae","Mateo 1983"
"75.12.10","Phillyreo angustifoliae-Arbutetum unedonis","Rivas Goday & Galiano in Rivas Goday, Borja, Esteve, Galiano, Rigual & Rivas-Martínez 1960"
"75.12.11","Phillyreo rodriguezii-Arbutetum unedonis","Rivas-Martínez & Costa 1987"
"75.13","Arbuto unedonis-Laurion nobilis","Rivas-Martínez, Fernández-González & Loidi 1999"
"75.13.01","Calluno vulgaris-Lauretum nobilis","F. Prieto, Arbesú & Bueno in T.E. Díaz & F. Prieto 1994"
"75.13.02","Frangulo alni-Arbutetum unedonis","T.E. Díaz & F. Prieto 1994"
"75.13.03","Frangulo alni-Prunetum lusitanicae","Lopes, J.C. Costa, Lousã & Capelo in J.C. Costa, Lopes, Capelo & Lousã 2000"
"75.13.04","Hedero helicis-Lauretum nobilis","Bueno & F. Prieto 1991"
"75.13.05","Lithodoro diffusae-Oleetum europaeae","Bueno & F. Prieto 1991"
"75.13.06","Myrico fayae-Arbutetum unedonis","Capelo & Mesquita 1998"
"75.13.07","Phillyreo latifoliae-Arbutetum unedonis","(A. Velasco 1983) Loidi, Herrera, Olano & Silván 1994"
"75.13.08","Pruno lusitanicae-Arbutetum unedonis","(Aguiar & Capelo 1995) J.C. Costa, Capelo & Lousã in J.C. Costa, Lopes, Capelo & Lousã 2000"
"75.13.09","Smilaco asperae-Arbutetum unedonis","T.E. Díaz & F. Prieto 1994"
"75.13.10","Ulici gallii-Arbutetum unedonis","Loidi, Herrera, Olano & Silván 1994"
"75.13.11","Viburno tini-Prunetum lusitanicae","Ladero 1976"
"75.13.12","Vinco difformis-Lauretum nobilis","Capelo, J.C. Costa, in J.C. Costa, Lopes, Capelo & Lousã 2000"
"75.13.13","Scrophulario laxiflorae-Rhododendretum baetici","A.V. Pérez, Galán & Cabezudo 2000"
"75.14","Pino acutisquamae-Juniperion phoeniceae","A.V. Pérez & Cabezudo in A.V. Pérez, P. Navas, D. Navas, Y. Gil & Cabezudo 1998"
"75.14.01","Pino acutisquamae-Quercetum cocciferae","Cabezudo, Nieto & A.V. Pérez 1989 corr. Ladero & Asensi 1999"
"75.14.02","Rhamno myrtifolii-Juniperetum phoeniceae","Molero & Pérez-Raya 1987"
"75.14.03","Rhamno lycioidis-Pinetum halepensis","(Torres, García-Fuentes, Salazar, Cano & F. Valle 1999) Rivas-Martínez 2002"
"76","Querco-Fagetea","Br.-Bl. & Vlieger in Vlieger 1937"
"76.01","Fagion sylvaticae","Luquet 1926"
"76.01.01","Carici sylvaticae-Fagetum sylvaticae","(Rivas-Martínez 1965) C. Navarro 1982"
"76.01.02","Festuco altissimae-Abietetum albae","Rivas-Martínez 1968"
"76.01.03","Fago-Helleboretum occidentalis","O. Bolòs 1957"
"76.01.04","Geranio nodosi-Fagetum sylvaticae","Vigo & Gil in Vigo, Carreras & Gil 1983"
"76.01.05","Lysimachio nemorum-Fagetum sylvaticae","Gruber 1973 em. Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"76.01.06","Roso pendulinae-Fagetum sylvaticae","Rivas-Martínez, Costa & P. Soriano 2002"
"76.01.07","Scillo lilio-hyacinthi-Fagetum sylvaticae","Br.-Bl. ex O. Bolòs 1957"
"76.01.08","Buxo sempervirentis-Abietetum albae","Vigo 1974"
"76.01.09","Buxo sempervirentis-Fagetum sylvaticae","Br.-Bl. ex Br.-Bl. & Susplugas 1937"
"76.01.10","Coronillo emeri-Abietetum albae","Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"76.01.11","Epipactido helleborines-Fagetum sylvaticae","Rivas-Martínez (1962) 1983"
"76.01.12","Primulo acaulis-Fagetum sylvaticae","O. Bolòs & L. Torres in O. Bolòs 1967"
"76.02","Tilio-Acerion","Klika 1955"
"76.02.01","Androsaemo-Ulmetum glabrae","Vanden Berghen 1968"
"76.02.02","Hedero-Tilietum platyphylli","Vigo & Carreras in Vigo, Carreras & Gil 1983"
"76.02.03","Roso pendulinae-Aceretum platanoidis","Carreras, Carrillo, Ninot & Vigo 1997"
"76.02.04","Violo mirabilis-Ulmetum glabrae","Romo 1988"
"76.03","Galio rotundifolii-Abietion albae","(Oberdorfer 1962) Rivas-Martínez 1987"
"76.03.01","Goodyero repentis-Abietetum albae","(O. Bolòs 1957) Rivas-Martínez 1968"
"76.03.02","Pulmonario affinis-Abietetum albae","Rivas-Martínez, Costa & P. Soriano 2002"
"76.04","Pulmonario longifoliae-Quercion roboris","Rivas-Martínez & Izco 2002"
"76.04.01","Brachypodio sylvatici-Fraxinetum excelsioris","Vigo 1968"
"76.04.02","Crataego laevigatae-Quercetum roboris","Rivas-Martínez & Loidi 1988"
"76.04.03","Doronico pardalianchis-Fraxinetum excelsioris","O. Bolòs, J.M. Montserrat & Romo 1993"
"76.04.04","Isopyro thalictroidis-Quercetum roboris","Tüxen & Diemont 1936"
"76.04.05","Mercuriali perennis-Fraxinetum excelsioris","F. Prieto & Vázquez 1987"
"76.04.06","Polysticho setiferi-Coryletum avellanae","O. Bolòs 1956"
"76.04.07","Polysticho setiferi-Fraxinetum excelsioris","(Tüxen & Oberdorfer 1958) Rivas-Martínez ex C. Navarro 1982"
"76.05","Quercion roboris","Malcuit 1929"
"76.05.01","Lathyro montani-Quercetum petraeae","(Lapraz 1966) Rivas-Martínez 1983"
"76.05.02","Prunello hastifoliae-Quercetum petraeae","(Vigo 1968) Rivas-Martínez & Costa 1998"
"76.05.03","Querco canariensis-Caricetum depressae","O. Bolòs 1954"
"76.05.04","Querco petraeae -Aceretum opali","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952"
"76.06","Luzulo-Fagion","Lohmeyer & Tüxen in Tüxen 1954"
"76.06.01","Luzulo niveae-Fagetum sylvaticae","(Susplugas 1942) Br.-Bl., Roussine & Nègre 1952"
"76.07","Quercion pyrenaicae","Rivas Goday ex Rivas-Martínez 1965"
"76.07.01","Adenocarpo decorticantis-Quercetum pyrenaicae","Martínez-Parras & Molero 1983"
"76.07.02","Arbuto unedonis-Quercetum pyrenaicae","(Rivas Goday in Rivas Goday, Esteve, Galiano, Rigual & Rivas-Martínez 1960) Rivas-Martínez 1987"
"76.07.03","Berberido australis-Quercetum pyrenaicae","F. Valle, Gómez-Mercado & Mota 1988"
"76.07.04","Cephalanthero rubrae-Quercetum pyrenaicae","O. Bolòs & Vigo in O. Bolòs 1967"
"76.07.05","Festuco braun-blanquetii-Quercetum pyrenaicae","Br.-Bl. 1967"
"76.07.06","Festuco elegantis-Quercetum pyrenaicae","(Rivas-Martínez & Sánchez-Mata in Sánchez-Mata 1989) Sánchez-Mata 1999"
"76.07.07","Genisto falcatae-Quercetum pyrenaicae","Penas & T.E. Díaz ex Rivas-Martínez 2002"
"76.07.08","Holco mollis-Quercetum pyrenaicae","Br.-Bl., P. Silva & Rozeira 1956"
"76.07.09","Luzulo baeticae-Quercetum pyrenaicae","Rivas-Martínez 2002"
"76.07.10","Luzulo forsteri-Quercetum pyrenaicae","Rivas-Martínez 1963"
"76.07.11","Sorbo torminalis-Quercetum pyrenaicae","Rivas Goday ex Rivas-Martínez 1987"
"76.07.12","Blechno spicant-Quercetum roboris","Tüxen & Oberdorfer 1958"
"76.07.13","Hyperico pulchri-Quercetum roboris","Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"76.07.14","Linario triornithophorae-Quercetum pyrenaicae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"76.07.15","Lonicero periclymeni-Quercetum pyrenaicae","Rivas-Martínez 2002"
"76.07.16","Melampyro pratensis-Quercetum pyrenaicae","Rivas-Martínez ex Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"76.07.17","Myrtillo-Quercetum roboris","P. Silva, Rozeira & Fontes 1950"
"76.07.18","Rusco aculeati-Quercetum roboris","Br.-Bl., P. Silva & Rozeira 1956"
"76.07.19","Viburno tini-Quercetum roboris","(Br.-Bl., P. Silva & Rozeira 1956) J.C. Costa, Capelo, Honrado, Aguiar & Lousã 2002"
"76.08","Ilici-Fagion","Br.-Bl. 1967"
"76.08.01","Blechno-Fagetum sylvaticae","(Tüxen & Oberdorfer 1958) Rivas-Martínez 1963"
"76.08.02","Galio rotundifolii-Fagetum sylvaticae","Rivas-Martínez 1963"
"76.08.03","Omphalodo nitidae-Fagetum sylvaticae","(Izco, Amigo & J. Guitián 1986) Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"76.08.04","Saxifrago hirsutae-Fagetum sylvaticae","Br.-Bl. 1967 em. Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"76.08.05","Asperulo odoratae-Quercetum petraeae","(Rivas-Martínez & G. Navarro in G. Navarro 1989) Rivas-Martínez & Cantó 2002"
"76.08.06","Linario triornithophorae-Quercetum petraeae","(Rivas-Martínez, Izco & Costa ex F. Navarro 1974) F. Prieto & Vázquez 1987"
"76.08.07","Luzulo henriquesii-Quercetum petraeae","(F. Prieto & Vázquez 1987) T.E. Díaz & F. Prieto 1994"
"76.08.08","Pulmonario longifoliae-Quercetum petraeae","(Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991) Loidi, Biurrun & Berastegi 1996"
"76.09","Quercion pubescenti-sessiliflorae","Br.-Bl. 1932"
"76.09.01","Buxo sempervirentis-Quercetum pubescentis","Br.-Bl. ex Bannes-Puygiron 1933"
"76.09.02","Pteridio aquilini-Quercetum pubescentis","(Susplugas 1942) O. Bolòs 1983"
"76.09.03","Roso arvensis-Quercetum humilis","Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"76.09.04","Saniculo europaeae-Taxetum baccatae","O. Bolòs 1967"
"76.09.05","Sorbo torminalis-Quercetum canariensis","O. Bolòs 1959"
"76.10","Aceri granatensis-Quercion fagineae","(Rivas Goday, Rigual & Rivas-Martínez in Rivas Goday, Borja, Esteve, Galiano, Rigual & Rivas-Martínez 1960) Rivas-Martínez 1987"
"76.10.01","Cephalanthero rubrae-Quercetum fagineae","Rivas-Martínez in Rivas Goday, Borja, Esteve, Galiano, Rigual & Rivas-Martínez 1960 corr. Rivas-Martínez 1972"
"76.10.02","Corylo avellanae-Quercetum fagineae","Rivas Goday & Borja in Rivas Goday, Esteve, Galiano, Rigual & Rivas-Martínez 1960 corr. Rivas-Martínez 1972"
"76.10.03","Daphno latifoliae-Aceretum granatensis","Rivas-Martínez 1965"
"76.10.04","Fraxino orni-Quercetum fagineae","Rivas Goday & Rigual in Rivas Goday, Borja, Esteve, Galiano, Rigual & Rivas-Martínez 1960 corr. Rivas-Martínez 1972"
"76.10.05","Geo urbani-Coryletum avellanae","F. Valle, Mota & Gómez-Mercado 1986"
"76.10.06","Primulo balearicae-Aceretum granatensis","Rivas-Martínez, Costa & Loidi 1992"
"76.10.07","Pulmonario longifoliae-Quercetum fagineae","Loidi & Herrera 1990"
"76.10.08","Sileno melliferae-Quercetum faginae","Rivas Goday & Borja in Rivas Goday, Borja, Esteve, Galiano, Rigual & Rivas-Martínez 1960"
"76.10.09","Spiraeo obovatae-Quercetum fagineae","O. Bolòs & P. Montserrat 1984"
"76.10.10","Violo willkommii-Quercetum fagineae","Br.-Bl. & O. Bolòs 1950 corr. Rivas-Martínez 1972"
"76.11","Paeonio broteroi-Abietion pinsapo","(Rivas-Martínez 1987) Rivas-Martínez & Asensi 2002"
"76.11.01","Bunio macucae-Abietetum pinsapo","(Asensi & Rivas-Martínez 1976) Rivas-Martínez 1987"
"76.11.02","Paeonio broteroi-Abietetum pinsapo","Asensi & Rivas-Martínez 1976"
"76.12","Corylo-Populion tremulae","(Br.-Bl. ex O. Bolòs 1973) Rivas-Martínez & Costa 1998"
"76.12.01","Actaeo spicatae-Coryletum avellanae","Carrillo & Ninot in Carrillo 1985"
"76.12.02","Astrantio majoris-Coryletum avellanae","Rivas Goday & Borja 1961"
"76.12.03","Fragario vescae-Populetum tremulae","O. Bolòs 1979"
"76.12.04","Hepatico nobilis-Coryletum","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952"
"76.12.05","Pulmonario affinis-Betuletum pendulae","Vigo ex Rivas-Martínez & Costa 2002"
"76.13","Betulion carpatico-pubescentis","Rivas-Martínez & Costa 2002"
"76.13.01","Betuletum pubescenti-carpaticae","Rivas-Martínez & Costa 1998"
"76.13.02","Thelypterido limbospermae-Betuletum pubescentis","Rivas-Martínez 1987"
"76.14","Betulion fontqueri-celtibericae","Rivas-Martínez & Costa 2002"
"76.14.01","Holco mollis-Betuletum celtibericae","Amigo & M.I, Romero 2002"
"76.14.02","Laserpitio eliasii-Coryletum avellanae","Puente, M.J. López, Penas & F. Salegui 2002"
"76.14.03","Linario triornithophorae-Coryletum avellanae","R. Alonso, Puente, Penas & F. Salegui"
"76.14.04","Luzulo cantabricae-Betuletum celtibericae","Rivas-Martínez 1965"
"76.14.05","Luzulo henriquesii-Aceretum pseudoplatani","F. Prieto & Bueno in T.E. Díaz & F.Prieto 1994"
"76.14.06","Melico uniflorae-Betuletum celtibericae","Rivas-Martínez & Mayor ex G. Moreno & G.López 1978"
"76.14.07","Omphalodo nitidae-Coryletum avellanae","Amigo, G. Azcárate & Romero 1994"
"76.14.08","Salici atrocinereae-Betuletum celtibericae","Loidi, Berastegui, Darquistade & García-Mijangos 1997"
"76.14.09","Salici capreae-Betuletum fontqueri","Molero & Rivas-Martínez 2002"
"76.14.10","Saxifrago spathularis-Betuletum celtibericae","Rivas-Martínez 1981"
"77","Vaccinio-Piceetea","Br.-Bl. in Br.-Bl., Sissingh & Vlieger 1939"
"77.01","Seslerio caeruleae-Pinion uncinatae","Vigo 1974"
"77.01.01","Pulsatillo fontquerii-Pinetum uncinatae","Vigo 1974 corr. Carreras, Carrillo, X. Font, Ninot, I. Soriano & Vigo 1995"
"77.01.02","Abieti albae-Rhododendretum ferruginei","(Br.-Bl. in Br.-Bl., Sissingh & Vlieger 1939) Br.-Bl 1948"
"77.01.03","Arctostaphylo uvae-ursi-Pinetum uncinatae","Rivas-Martínez 1968"
"77.01.04","Rhododendro ferruginei-Pinetum uncinatae","Rivas-Martínez 1968"
"77.02","Rhododendro-Vaccinion","Br.-Bl. ex G. & J. Br.-Bl. 1931"
"77.02.01","Rhododendro ferruginei-Saxifragetum geranioidis","Br.-Bl. in Br.-Bl., Sissingh & Vlieger 1939"
"77.02.02","Salici pyrenaicae-Rhododendretum ferruginei","Nègre 1968"
"77.03","Juniperion nanae","Br.-Bl. in Br.-Bl., Sissingh & Vlieger 1939"
"77.03.01","Cotoneastro pyrenaici-Juniperetum alpinae","(Turmel 1955) Rivas-Martínez & J.A. Molina 2002"
"77.03.02","Cytiso oromediterranei-Arctostaphyletum uvae-ursi","Br.-Bl. 1948 corr. Rivas-Martínez & Costa 1998"
"77.03.03","Daphno cantabricae-Arctostaphyletum uvae-ursi","Rivas-Martínez, Izco & Costa 1971"
"77.03.04","Junipero nanae-Vaccinietum microphylli","Rivas-Martínez ex F. Prieto 1983 corr. Loidi & Biurrun 1996"
"77.03.05","Vaccinio microphylli-Callunetum vulgaris","F. Prieto 2002"
"78","Cytiso-Pinetea canariensis","Rivas Goday & Esteve ex Esteve 1969"
"78.01","Cisto-Pinion canariensis","Rivas Goday & Esteve ex Esteve 1969"
"78.01.01","Bystropogono ferrensis-Pinetum canariensis","Del Arco, Acebes & Pérez de Paz 1996"
"78.01.02","Loto hillebrandii-Pinetum canariensis","Santos 1983"
"78.01.03","Micromerio pineolentis-Pinetum canariensis","Esteve 1969"
"78.01.04","Sideritido solutae-Pinetum canariensis","Esteve 1973"
"78.02","Spartocytision nubigeni","Oberdorfer ex Esteve 1973"
"78.02.01","Descurainio gilvae-Plantaginetum webbii","Santos 1983"
"78.02.02","Echietum auberiani","Schönfelder in Schönfelder & Voggenreiter 1994"
"78.02.03","Erysimo scoparii-Pterocephaletum lasiospermi","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"78.02.04","Spartocytisetum nubigeni","Oberdorfer ex Esteve 1973"
"78.02.05","Telinetum spachianae","Del Arco & Wildpret 1983"
"78.02.06","Telino benehoavensis-Adenocarpetum spartioidis","Santos 1983"
"78.02.07","Violetum cheiranthifoliae","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"79","Kleinio-Euphorbietea canariensis","(Rivas Goday & Esteve 1965) Santos 1976"
"79.01","Aeonio-Euphorbion canariensis","Sunding 1972"
"79.01.01","Aeonio percarnei-Euphorbietum canariensis","(Rivas Goday & Esteve 1965) Sunding 1972"
"79.01.02","Aeonio valverdensis-Euphorbietum canariensis","Del Arco, Acebes & Pérez de Paz 1996"
"79.01.03","Astydamio-Euphorbietum aphyllae","Sunding 1972"
"79.01.04","Ceropegio dichotomae-Euphorbietum aphyllae","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"79.01.05","Ceropegio fuscae-Euphorbietum balsamiferae","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"79.01.06","Echio breviramis-Euphorbietum balsamiferae","Santos 1983"
"79.01.07","Echio breviramis-Euphorbietum canariensis","Santos 1983"
"79.01.08","Euphorbietum balsamiferae","Sunding 1972"
"79.01.09","Euphorbietum bertheloti-canariensis","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"79.01.10","Euphorbietum handiensis","O. Rodríguez, García Gallo & Reyes 2001"
"79.01.11","Kleinio neriifoliae-Asparagetum pastoriani","Lems 1968 corr. Santos 1983"
"79.01.12","Kleinio neriifoliae-Euphorbietum canariensis","O. Rodríguez, García Gallo & Reyes 2001"
"79.01.13","Lycio intricati-Euphorbietum balsamiferae","O. Rodríguez, García Gallo & Reyes 2001"
"79.01.14","Odontospermo intermedii-Euphorbietum balsamiferae","Esteve & Socorro 1977"
